ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
W1-27	W1	rep07	1e-4	eq10400_s3270	cons0.001	1	10
W1-27	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-27	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-27	W1	rep10	3.0000000000000003e-4	eq10400_s3270	cons0.001	1	10
W1-28	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-28	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-28	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-28	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-28	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-28	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-28	W1	rep07	1e-4	eq10400_s3270	cons0.001	1	10
W1-28	W1	rep08	0.0011	eq10400_s3270	cons0.001	1	10
W1-28	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-28	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-29	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-29	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-29	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-29	W1	rep04	8e-4	eq10400_s3270	cons0.001	1	10
W1-29	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-29	W1	rep06	0	eq10400_s3270	cons0.001	1	10
W1-29	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-29	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-29	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-29	W1	rep10	0	eq10400_s3270	cons0.001	1	10
W1-30	W1	rep01	0	eq10400_s3270	cons0.001	1	10
W1-30	W1	rep02	0	eq10400_s3270	cons0.001	1	10
W1-30	W1	rep03	0	eq10400_s3270	cons0.001	1	10
W1-30	W1	rep04	0	eq10400_s3270	cons0.001	1	10
W1-30	W1	rep05	0	eq10400_s3270	cons0.001	1	10
W1-30	W1	rep06	0.0013	eq10400_s3270	cons0.001	1	10
W1-30	W1	rep07	0	eq10400_s3270	cons0.001	1	10
W1-30	W1	rep08	0	eq10400_s3270	cons0.001	1	10
W1-30	W1	rep09	0	eq10400_s3270	cons0.001	1	10
W1-30	W1	rep10	0	eq10400_s3270	cons0.001	1	10
AQ-1	AQ	rep01	1	eq10400_s3270	cons0.001	1	10
AQ-1	AQ	rep02	1	eq10400_s3270	cons0.001	1	10
AQ-1	AQ	rep03	1	eq10400_s3270	cons0.001	1	10
AQ-1	AQ	rep04	1	eq10400_s3270	cons0.001	1	10
AQ-1	AQ	rep05	1	eq10400_s3270	cons0.001	1	10
AQ-1	AQ	rep06	1	eq10400_s3270	cons0.001	1	10
AQ-1	AQ	rep07	1	eq10400_s3270	cons0.001	1	10
AQ-1	AQ	rep08	1	eq10400_s3270	cons0.001	1	10
AQ-1	AQ	rep09	1	eq10400_s3270	cons0.001	1	10
AQ-1	AQ	rep10	1	eq10400_s3270	cons0.001	1	10
AQ-2	AQ	rep01	1	eq10400_s3270	cons0.001	1	10
AQ-2	AQ	rep02	1	eq10400_s3270	cons0.001	1	10
AQ-2	AQ	rep03	1	eq10400_s3270	cons0.001	1	10
AQ-2	AQ	rep04	1	eq10400_s3270	cons0.001	1	10
AQ-2	AQ	rep05	0.9994	eq10400_s3270	cons0.001	1	10
AQ-2	AQ	rep06	1	eq10400_s3270	cons0.001	1	10
