simulation_replicate	pop	mean	var	freq_unadmixed	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
rep10	W2	0.0037633333333333334	5.159481609195402e-5	0.8333333333333334	eq10400_s280	single0.8	1	10
rep01	AQ	0.98843	5.605394137931035e-4	0	eq10400_s280	single1	1	10
rep02	AQ	0.9957166666666667	7.880488505747121e-5	0	eq10400_s280	single1	1	10
rep03	AQ	0.99456	2.888224827586206e-4	0	eq10400_s280	single1	1	10
rep04	AQ	0.9960833333333333	1.2442764367816126e-4	0	eq10400_s280	single1	1	10
rep05	AQ	0.99302	3.7351751724137925e-4	0	eq10400_s280	single1	1	10
rep06	AQ	0.99451	1.4959196551724197e-4	0	eq10400_s280	single1	1	10
rep07	AQ	0.9924933333333333	3.494661609195402e-4	0	eq10400_s280	single1	1	10
rep08	AQ	0.9833466666666667	0.001116970850574712	0	eq10400_s280	single1	1	10
rep09	AQ	0.9944233333333333	5.193280574712648e-4	0	eq10400_s280	single1	1	10
rep10	AQ	0.9944866666666666	3.931756781609195e-4	0	eq10400_s280	single1	1	10
rep01	W1	0.06942000000000001	0.06375344096551726	0.8666666666666667	eq10400_s280	single1	1	10
rep02	W1	0.041313333333333334	0.0329418936091954	0.7333333333333333	eq10400_s280	single1	1	10
rep03	W1	0.10524333333333333	0.0911281846091954	0.7333333333333333	eq10400_s280	single1	1	10
rep04	W1	0.13989333333333334	0.11779132547126436	0.7	eq10400_s280	single1	1	10
rep05	W1	0.14107333333333333	0.11701473995402299	0.6333333333333333	eq10400_s280	single1	1	10
rep06	W1	0.07041666666666667	0.06381888350574713	0.6666666666666666	eq10400_s280	single1	1	10
rep07	W1	0.17063666666666666	0.1414985161954023	0.6	eq10400_s280	single1	1	10
rep08	W1	0.10763333333333333	0.08978863333333334	0.5666666666666667	eq10400_s280	single1	1	10
rep09	W1	0.03668	0.033147080965517245	0.8	eq10400_s280	single1	1	10
rep10	W1	0.17228666666666667	0.1416420660229885	0.6666666666666666	eq10400_s280	single1	1	10
rep01	W2	0.003809999999999999	4.481748275862066e-5	0.8	eq10400_s280	single1	1	10
rep02	W2	0.003859999999999999	6.289006896551723e-5	0.8666666666666667	eq10400_s280	single1	1	10
rep03	W2	0.008686666666666665	4.4826188505747125e-4	0.8	eq10400_s280	single1	1	10
rep04	W2	0.0020733333333333333	5.27719540229885e-6	0.8666666666666667	eq10400_s280	single1	1	10
rep05	W2	0.0031566666666666666	3.360667816091954e-5	0.8666666666666667	eq10400_s280	single1	1	10
rep06	W2	0.005796666666666664	2.520313678160919e-4	0.7333333333333333	eq10400_s280	single1	1	10
rep07	W2	0.0029066666666666663	2.8400643678160915e-5	0.8	eq10400_s280	single1	1	10
rep08	W2	0.005909999999999999	1.228381724137931e-4	0.7333333333333333	eq10400_s280	single1	1	10
rep09	W2	0.0031233333333333326	3.280391954022988e-5	0.8333333333333334	eq10400_s280	single1	1	10
rep10	W2	0.0065366666666666655	3.0212929885057465e-4	0.8333333333333334	eq10400_s280	single1	1	10
