ind	pop	simulation_replicate	AQ_assignment_rate	pop_diff	admix_scenario	gen_to_admix	total_sim_rep
W1-21	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-21	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-21	W1	rep05	0.09019999999999996	eq10400_s3270	single0.1	6	10
W1-21	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-21	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-21	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-21	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-21	W1	rep10	0.0412	eq10400_s3270	single0.1	6	10
W1-22	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-22	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-22	W1	rep03	0	eq10400_s3270	single0.1	6	10
W1-22	W1	rep04	0	eq10400_s3270	single0.1	6	10
W1-22	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-22	W1	rep06	1e-4	eq10400_s3270	single0.1	6	10
W1-22	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-22	W1	rep08	0	eq10400_s3270	single0.1	6	10
W1-22	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-22	W1	rep10	0	eq10400_s3270	single0.1	6	10
W1-23	W1	rep01	0	eq10400_s3270	single0.1	6	10
W1-23	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-23	W1	rep03	0.04289999999999999	eq10400_s3270	single0.1	6	10
W1-23	W1	rep04	0.04799999999999999	eq10400_s3270	single0.1	6	10
W1-23	W1	rep05	0	eq10400_s3270	single0.1	6	10
W1-23	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-23	W1	rep07	7e-4	eq10400_s3270	single0.1	6	10
W1-23	W1	rep08	3.0000000000000003e-4	eq10400_s3270	single0.1	6	10
W1-23	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-23	W1	rep10	0.001	eq10400_s3270	single0.1	6	10
W1-24	W1	rep01	2e-4	eq10400_s3270	single0.1	6	10
W1-24	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-24	W1	rep03	8e-4	eq10400_s3270	single0.1	6	10
W1-24	W1	rep04	0.04349999999999999	eq10400_s3270	single0.1	6	10
W1-24	W1	rep05	0.0019	eq10400_s3270	single0.1	6	10
W1-24	W1	rep06	0	eq10400_s3270	single0.1	6	10
W1-24	W1	rep07	0	eq10400_s3270	single0.1	6	10
W1-24	W1	rep08	3.0000000000000003e-4	eq10400_s3270	single0.1	6	10
W1-24	W1	rep09	0	eq10400_s3270	single0.1	6	10
W1-24	W1	rep10	0.0528	eq10400_s3270	single0.1	6	10
W1-25	W1	rep01	0.0038	eq10400_s3270	single0.1	6	10
W1-25	W1	rep02	0	eq10400_s3270	single0.1	6	10
W1-25	W1	rep03	0	eq10400_s3270	single0.1	6	10
